epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3394,0.87718,3.07021,1.38316,0.00413,0.8,0.34101,0.19698,1.42162,3.93308,1.9755,0.00046412,0.00046412,0.00046412
2,45.3423,0.78567,2.6209,1.34735,0.21983,0.26667,0.28409,0.17725,1.11591,3.15112,1.76461,0.000927152,0.000927152,0.000927152
3,67.1526,0.76234,2.37459,1.27448,0.40989,0.25742,0.33732,0.19765,1.59,3.29848,2.31384,0.00137671,0.00137671,0.00137671
4,89.5734,0.83475,2.32683,1.33195,0.32024,0.71195,0.34899,0.16072,1.826,16.6396,3.10862,0.00136837,0.00136837,0.00136837
5,112.077,1.00592,2.54297,1.48733,0.49332,0.53282,0.36232,0.18425,1.50346,4.06426,2.34806,0.00134816,0.00134816,0.00134816
6,135.191,0.86205,2.15137,1.33181,0.21143,0.73019,0.37266,0.20994,1.50206,18.5485,2.38059,0.00132795,0.00132795,0.00132795
7,158.305,0.8446,2.20788,1.39533,0.35316,0.69946,0.50548,0.22272,1.94081,13.5487,3.43201,0.00130774,0.00130774,0.00130774
8,180.549,0.93096,2.24924,1.44165,0.59545,0.34176,0.38749,0.20746,1.73751,4.44121,2.57647,0.00128753,0.00128753,0.00128753
9,202.857,0.92853,2.16996,1.38683,0.4591,0.58333,0.52308,0.2419,1.50205,3.14219,2.59609,0.00126732,0.00126732,0.00126732
10,227.254,0.93984,2.31081,1.44212,0.51675,0.58399,0.64589,0.3098,1.49337,3.64744,2.20512,0.00124711,0.00124711,0.00124711
11,251.081,0.93965,2.26207,1.38697,0.55291,0.58333,0.59112,0.26169,1.4899,3.87085,2.17962,0.0012269,0.0012269,0.0012269
12,276.589,0.92208,2.16519,1.34212,0.43852,0.59028,0.50352,0.23675,1.59031,3.47948,2.23186,0.00120669,0.00120669,0.00120669
13,299.449,1.0034,2.26979,1.46656,0.32754,0.65334,0.43719,0.22384,1.75191,3.69076,2.41414,0.00118648,0.00118648,0.00118648
14,324.796,0.94838,2.20044,1.43837,0.45751,0.61674,0.53595,0.33646,1.42331,3.57455,2.08783,0.00116627,0.00116627,0.00116627
15,348.337,0.78453,1.89619,1.26207,0.72754,0.64822,0.65451,0.45961,1.15495,2.41741,1.86139,0.00114606,0.00114606,0.00114606
16,371.314,0.88705,2.09411,1.35449,0.83823,0.55417,0.71209,0.45636,1.17524,2.35562,1.97013,0.00112585,0.00112585,0.00112585
17,394.408,0.90898,1.94018,1.38919,0.73358,0.5,0.58933,0.38314,1.42267,2.5475,2.02204,0.00110564,0.00110564,0.00110564
18,418.42,0.92666,2.0384,1.36846,0.62583,0.43333,0.56881,0.2751,1.62592,3.20694,2.2285,0.00108543,0.00108543,0.00108543
19,442.195,0.77424,1.81928,1.27071,0.4778,0.63483,0.63389,0.37495,1.4014,2.76655,2.13913,0.00106522,0.00106522,0.00106522
20,464.716,0.80881,1.8058,1.26353,0.77192,0.58151,0.67235,0.43295,1.23736,2.53301,2.04073,0.00104501,0.00104501,0.00104501
21,487.109,0.75619,1.77,1.24308,0.8609,0.5,0.65938,0.3934,1.20296,2.76167,2.05368,0.0010248,0.0010248,0.0010248
22,511.111,0.84568,1.88401,1.33968,0.60822,0.46449,0.58623,0.37795,1.16819,3.09628,1.98505,0.00100459,0.00100459,0.00100459
